date,close,volume,open,high,low,Close_1,Close_3,Close_5
,,,,,,,,
2014/04/01,4.07,18711230,4.04,4.1,4.02,4.06,4.01,3.99
2014/04/02,4.06,14834590,4.12,4.12,4.06,4,3.88,3.98
2014/04/03,4,16780420,4.07,4.1,3.97,4.01,3.99,3.85
2014/04/04,4.01,23367050,4.03,4.11,3.92,3.88,3.98,3.65
2014/04/07,3.88,24800580,3.98,3.99,3.83,3.99,3.85,3.71
2014/04/08,3.99,17339070,3.89,4,3.83,3.98,3.65,3.79
2014/04/09,3.98,11268830,4.01,4.02,3.95,3.85,3.71,3.76
2014/04/10,3.85,21348820,3.97,4.01,3.84,3.65,3.79,3.69
2014/04/11,3.65,34356490,3.82,3.85,3.65,3.71,3.76,4.12
2014/04/14,3.71,22735060,3.72,3.78,3.65,3.79,3.69,4.3
2014/04/15,3.79,21694140,3.74,3.82,3.715,3.76,4.12,4.25
2014/04/16,3.76,18078410,3.81,3.83,3.73,3.69,4.3,4.28
2014/04/17,3.69,31447520,3.78,3.795,3.69,4.12,4.25,4.05
2014/04/21,4.12,102353000,4.01,4.2,3.955,4.3,4.28,3.96
2014/04/22,4.3,52698840,4.13,4.31,4.11,4.25,4.05,4.03
2014/04/23,4.25,29085050,4.28,4.3,4.155,4.28,3.96,4.09
2014/04/24,4.28,27517350,4.27,4.35,4.2,4.05,4.03,4.2
2014/04/25,4.05,37672140,4.22,4.26,4.04,3.96,4.09,4.12
2014/04/28,3.96,31637530,4.09,4.12,3.87,4.03,4.2,4.09
2014/04/29,4.03,14580940,4.02,4.03,3.96,4.09,4.12,4.01
2014/04/30,4.09,18232920,4,4.1,3.99,4.2,4.09,3.97
2014/05/01,4.2,37749160,4.13,4.24,4.1,4.12,4.01,3.93
2014/05/02,4.12,14468610,4.17,4.2,4.1,4.09,3.97,3.87
2014/05/05,4.09,8978250,4.1,4.14,4.06,4.01,3.93,3.97
2014/05/06,4.01,17897310,4.06,4.13,3.98,3.97,3.87,4.03
2014/05/07,3.97,22366630,4.04,4.04,3.89,3.93,3.97,3.98
2014/05/08,3.93,14543560,3.95,4.03,3.91,3.87,4.03,3.96
2014/05/09,3.87,15971590,3.91,3.93,3.85,3.97,3.98,4.02
2014/05/12,3.97,14783080,3.87,4,3.86,4.03,3.96,4.09
2014/05/13,4.03,11212280,3.99,4.09,3.98,3.98,4.02,4.05
2014/05/14,3.98,10349620,4.03,4.06,3.98,3.96,4.09,4.1
2014/05/15,3.96,18000880,3.96,3.98,3.89,4.02,4.05,4.01
2014/05/16,4.02,17130980,3.95,4.05,3.91,4.09,4.1,4.02
2014/05/19,4.09,18171030,4,4.1,3.96,4.05,4.01,4.04
2014/05/20,4.05,15645960,4.09,4.11,4,4.1,4.02,4
2014/05/21,4.1,13369480,4.06,4.1,4.05,4.01,4.04,4.03
2014/05/22,4.01,11869430,4.09,4.09,4.01,4.02,4,4
2014/05/23,4.02,9800173,4.03,4.06,3.97,4.04,4.03,3.97
2014/05/27,4.04,6911519,4.05,4.06,4.03,4,4,3.94
2014/05/28,4,12290070,4.04,4.06,3.99,4.03,3.97,4.04
2014/05/29,4.03,8876228,4.02,4.06,4.01,4,3.94,4.08
2014/05/30,4,10030640,4.02,4.03,3.98,3.97,4.04,4.06
2014/06/02,3.97,10859500,4.03,4.03,3.94,3.94,4.08,4.07
2014/06/03,3.94,10842550,3.96,3.975,3.92,4.04,4.06,4.2
