date,close,volume,open,high,low,Close_1,Close_3,Close_5
2014/04/01,25.99,23778450,25.8,26,25.64,25.89,26.16,26.91
2014/04/02,25.89,22374400,25.96,26.05,25.64,26.41,26.485,26.98
2014/04/03,26.41,38394360,26.15,26.46,26.14,26.16,26.91,26.425
2014/04/04,26.16,47829470,26.49,26.73,26.105,26.485,26.98,26.1799
2014/04/07,26.485,49693490,26.3,26.74,26.2,26.91,26.425,26.56
2014/04/08,26.91,56564370,26.36,26.98,26.35,26.98,26.1799,26.77
2014/04/09,26.98,34467000,26.93,27.02,26.73,26.425,26.56,26.93
2014/04/10,26.425,40390460,27.01,27.09,26.36,26.1799,26.77,27.04
2014/04/11,26.1799,36120620,26.27,26.59,26.17,26.56,26.93,26.95
2014/04/14,26.56,26847410,26.31,26.65,26.14,26.77,27.04,26.84
2014/04/15,26.77,44819130,26.51,26.83,26.36,26.93,26.95,26.75
2014/04/16,26.93,53065350,26.98,27.24,26.595,27.04,26.84,26.75
2014/04/17,27.04,38107750,26.88,27.155,26.79,26.95,26.75,26.26
2014/04/21,26.95,20364470,27.05,27.05,26.73,26.84,26.75,26.33
2014/04/22,26.84,29600840,26.91,26.98,26.66,26.75,26.26,26.48
2014/04/23,26.75,25563600,26.8,26.97,26.72,26.75,26.33,26.69
2014/04/24,26.75,25376930,26.81,26.96,26.64,26.26,26.48,26.45
2014/04/25,26.26,33612160,26.65,26.72,26.185,26.33,26.69,26.41
2014/04/28,26.33,33461380,26.17,26.39,26.01,26.48,26.45,26.17
2014/04/29,26.48,22041780,26.36,26.655,26.35,26.69,26.41,26.2
2014/04/30,26.69,25710410,26.32,26.7,26.22,26.45,26.17,26.37
2014/05/01,26.45,19704440,26.51,26.67,26.39,26.41,26.2,26.34
2014/05/02,26.41,24235040,26.56,26.64,26.4,26.17,26.37,26.3
2014/05/05,26.17,20691530,26.16,26.26,25.99,26.2,26.34,26.37
2014/05/06,26.2,21804940,26.16,26.38,26,26.37,26.3,26.45
2014/05/07,26.37,24575210,26.26,26.45,26.22,26.34,26.37,26.33
2014/05/08,26.34,24062190,26.32,26.53,26.22,26.3,26.45,26.01
2014/05/09,26.3,20287000,26.37,26.41,26.22,26.37,26.33,25.82
2014/05/12,26.37,20607580,26.41,26.54,26.3,26.45,26.01,26.04
2014/05/13,26.45,20504230,26.49,26.54,26.33,26.33,25.82,26.04
2014/05/14,26.33,17795400,26.49,26.52,26.33,26.01,26.04,26.2
2014/05/15,26.01,31682830,26.33,26.5,26.01,25.82,26.04,26.15
2014/05/16,25.82,30017180,26.05,26.07,25.74,26.04,26.2,26.289
2014/05/19,26.04,22674620,25.75,26.09,25.75,26.04,26.15,26.71
2014/05/20,26.04,22291560,26.02,26.17,25.875,26.2,26.289,26.88
2014/05/21,26.2,18701610,26.1,26.25,26,26.15,26.71,26.96
2014/05/22,26.15,15925920,26.21,26.27,26.08,26.289,26.88,27.32
2014/05/23,26.289,17172240,26.15,26.3,26.14,26.71,26.96,27.26
2014/05/27,26.71,27249820,26.33,26.74,26.18,26.88,27.32,27.66
2014/05/28,26.88,27150100,26.7,26.94,26.66,26.96,27.26,27.6
2014/05/29,26.96,20635870,26.91,26.962,26.7212,27.32,27.66,27.66
2014/05/30,27.32,43612490,26.94,27.32,26.93,27.26,27.6,28.17
2014/06/02,27.26,20264850,27.31,27.35,27.12,27.66,27.66,27.91
2014/06/03,27.66,33254630,27.22,27.7,27.12,27.6,28.17,28.24
2014/06/04,27.6,21611970,27.51,27.76,27.5,27.66,27.91,27.93
2014/06/05,27.66,26545750,27.56,27.66,27.43,28.17,28.24,27.96
2014/06/06,28.17,34779200,27.78,28.21,27.73,27.91,27.93,29.87
2014/06/09,27.91,39932840,28.1,28.42,27.83,28.24,27.96,30.01
2014/06/10,28.24,34006530,27.85,28.33,27.72,27.93,29.87,29.95
2014/06/11,27.93,27747710,28.14,28.21,27.8,27.96,30.01,29.93
2014/06/12,27.96,30662940,27.86,28.1,27.77,29.87,29.95,30.09
2014/06/13,29.87,122128000,29.75,30.06,29.56,30.01,29.93,30.2
2014/06/16,30.01,36258080,29.72,30.15,29.67,29.95,30.09,30.23
2014/06/17,29.95,28440610,29.88,30.1,29.84,29.93,30.2,30.5
2014/06/18,29.93,34411300,29.88,29.98,29.67,30.09,30.23,30.88
2014/06/19,30.09,27166630,29.97,30.09,29.89,30.2,30.5,30.78
2014/06/20,30.2,39547760,30.07,30.2,30.03,30.23,30.88,30.93
2014/06/23,30.23,26528790,30.1,30.31,29.85,30.5,30.78,30.9
2014/06/24,30.5,53396230,30.16,30.83,30.09,30.88,30.93,30.98
2014/06/25,30.88,44290970,30.48,31,30.445,30.78,30.9,30.98
2014/06/26,30.78,26721650,30.81,30.9,30.61,30.93,30.98,31.14
2014/06/27,30.93,30538350,30.87,31,30.7,30.9,30.98,31.03
2014/06/30,30.9,21547920,30.87,31,30.66,30.98,31.14,30.79
2014/07/01,30.98,28239790,30.99,31.09,30.87,30.98,31.03,30.89
